Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
M,50.75,0.584999978542328,owner,given,unemploye,unemploye,0,0,f,given,145,0,reject
M,19.6700000762939,10,rent,not_given,labourer,governmen,0,0,t,given,140,0,reject
F,52.8300018310547,15,owner,given,creative_,private_s,5,14,f,given,0,2200,accept
M,22.6700000762939,2.53999996185303,rent,not_given,creative_,governmen,2,0,f,given,0,0,accept
M,29.25,13,owner,given,driver,governmen,0,0,f,given,228,0,reject
F,16.0799999237061,0.33500000834465,owner,given,unemploye,unemploye,0,1,f,given,160,126,reject
M,23.1700000762939,11.125,owner,given,professio,governmen,0,1,f,given,100,0,accept
F,27.5799999237061,3,owner,given,manager,private_s,2,1,t,given,280,10,reject
F,19.1700000762939,5.41499996185303,owner,given,guard_etc,governmen,0,0,f,given,80,484,reject
F,27.25,0.28999999165535,owner,given,manager,governmen,0,1,t,given,272,108,reject
M,34.5,4.03999996185303,rent,not_given,guard_etc,self_empl,8,7,t,given,195,0,accept
M,20,1.25,rent,not_given,labourer,private_s,0,0,f,given,140,4,reject
M,34.4199981689453,1.33500003814697,owner,given,guard_etc,self_empl,0,0,t,given,440,4500,reject
M,41,0.0399999991059303,owner,given,executive,private_s,0,1,f,oth_inst_,560,0,accept
F,24.75,3,owner,given,office_st,governmen,1,19,f,given,0,500,accept
F,38.25,6,owner,given,labourer,private_s,1,0,t,given,0,0,accept
M,28,2,owner,given,labourer,governmen,4,2,t,given,181,0,accept
F,27.6700000762939,2.03999996185303,owner,given,productio,private_s,0,0,t,given,180,50,reject
F,22.5,0.41499999165535,owner,given,guard_etc,private_s,0,0,t,oth_inst_,144,0,reject
F,22.4200000762939,5.66499996185303,owner,given,office_st,private_s,2,7,f,given,129,3257,accept
M,23.25,1.5,owner,given,office_st,private_s,2,3,t,given,0,582,accept
M,16.9200000762939,0.33500000834465,rent,not_given,labourer,private_s,0,0,f,oth_inst_,200,0,reject
M,29.9200000762939,1.83500003814697,owner,given,creative_,governmen,4,0,f,given,260,200,accept
M,27.8299999237061,1,rent,not_given,driver,governmen,3,0,f,given,176,537,reject
M,34.25,3,owner,given,semi_pro,governmen,7,0,t,given,0,0,accept
M,33,2.5,rent,not_given,productio,private_s,7,0,t,given,280,0,reject
M,28.75,1.16499996185303,owner,given,labourer,private_s,0,0,f,oth_inst_,280,0,reject
M,55.9199981689453,11.5,owner,given,unemploye,unemploye,5,5,f,given,0,8851,accept
M,34.4199981689453,4.25,owner,given,guard_etc,self_empl,3,2,f,given,274,610,accept
F,51.9199981689453,6.5,owner,given,guard_etc,self_empl,3,0,t,given,73,0,reject
M,38.25,10.125,rent,not_given,labourer,private_s,0,0,f,given,160,0,reject
M,47.1699981689453,5.83500003814697,owner,given,productio,private_s,5,0,f,given,465,150,reject
M,39.1699981689453,1.71000003814697,owner,given,professio,private_s,0,5,t,given,480,0,accept
M,48.0800018310547,6.03999996185303,owner,given,labourer,private_s,0,0,f,given,0,2690,accept
F,24.75,13.664999961853,owner,given,office_st,governmen,1,0,f,given,280,1,reject
M,27.8299999237061,1.5,owner,given,productio,private_s,2,1,t,given,100,3,reject
M,36.1699981689453,18.125,owner,given,productio,private_s,0,0,f,given,320,3552,reject
F,16.5,1.25,owner,given,office_st,private_s,0,1,f,given,108,98,reject
M,19.1700000762939,0,rent,not_given,manager,self_empl,0,0,t,oth_inst_,500,1,accept
M,36.25,5,owner,given,creative_,self_empl,2,6,f,given,0,367,accept
M,18.5799999237061,5.71000003814697,owner,given,driver,private_s,0,0,f,given,120,0,reject
F,49,1.5,owner,given,labourer,private_s,0,0,t,given,100,27,reject
M,23.25,12.625,owner,given,creative_,private_s,0,2,f,given,0,5552,reject
M,26.8299999237061,0.540000021457672,owner,given,labourer,unemploye,0,0,f,given,100,0,reject
M,18.8299999237061,3.53999996185303,rent,not_given,unemploye,unemploye,0,0,t,given,180,1,reject
M,24.5799999237061,1.25,owner,given,creative_,private_s,0,0,f,given,110,0,reject
M,39.5800018310547,13.914999961853,owner,given,productio,private_s,8,6,t,given,70,0,accept
F,25.25,12.5,owner,given,driver,private_s,1,0,t,given,180,1062,reject
M,28.5799999237061,3.625,owner,given,sales,private_s,0,0,t,given,100,0,reject
M,20.0799999237061,0.25,owner,given,office_st,private_s,0,0,f,given,200,0,reject
M,62.5,12.75,rent,not_given,creative_,governmen,5,0,f,given,112,0,reject
F,18.9200000762939,9,owner,given,sales,private_s,0,2,f,given,88,591,accept
F,28.6700000762939,1.03999996185303,owner,given,creative_,private_s,2,5,t,given,300,1430,accept
F,25,12.3299999237061,owner,given,semi_pro,governmen,3,6,f,given,400,458,accept
M,41.5800018310547,1.75,owner,given,labourer,private_s,0,0,f,given,160,0,reject
F,20.8299999237061,3,owner,given,sales,private_s,0,0,f,given,100,0,accept
M,37.5,1.125,rent,not_given,driver,private_s,1,0,t,given,431,0,accept
F,56.8300018310547,4.25,rent,not_given,unemploye,unemploye,5,0,t,given,0,4,reject
M,36.3300018310547,2.125,rent,not_given,productio,private_s,0,1,f,given,50,1187,accept
F,22.6700000762939,0.33500000834465,owner,given,office_st,private_s,0,0,f,oth_inst_,160,0,reject
M,39.5800018310547,5,owner,given,unemploye,unemploye,0,2,f,given,17,1,reject
M,48.5800018310547,6.5,owner,given,office_st,governmen,6,0,t,given,350,0,accept
F,60.9199981689453,5,owner,given,sales,private_s,4,4,f,given,0,99,accept
M,33.1699981689453,1,owner,given,professio,private_s,0,7,t,given,340,4071,accept
M,23.0799999237061,2.5,owner,given,unemploye,unemploye,0,0,t,given,100,4208,reject
F,47.75,8,owner,given,creative_,private_s,7,6,t,given,0,1260,accept
F,28.5799999237061,3.75,owner,given,creative_,private_s,0,1,t,given,40,154,reject
M,26.6700000762939,1.75,rent,not_given,creative_,private_s,1,5,t,given,160,5777,accept
F,17.5799999237061,9,owner,given,sales,private_s,1,0,t,given,0,0,accept
M,36.6699981689453,4.41499996185303,rent,not_given,labourer,private_s,0,10,t,given,320,0,accept
F,68.6699981689453,15,owner,given,executive,retired,0,14,f,given,0,3376,accept
M,22.9200000762939,3.16499996185303,rent,not_given,creative_,private_s,0,0,f,given,160,1058,reject
M,18.4200000762939,10.414999961853,rent,not_given,sales,private_s,0,0,f,given,120,375,reject
M,24.0799999237061,0.875,owner,given,manager,private_s,0,4,f,given,254,1950,reject
F,17.9200000762939,10.210000038147,owner,given,unemploye,unemploye,0,0,f,given,0,50,reject
M,18.8299999237061,0.41499999165535,rent,not_given,creative_,private_s,0,1,f,given,200,1,reject
